trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",25,0,-119.9599136478553,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.8999999999999999}",25,0,-98.67253632032137,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.8499999999999999}",30,0,-47.59450743916088,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.9, 'e': 0.7999999999999998}",25,0,-128.10508417812952,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.7499999999999998}",20,0,-50.57498645323496,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.6999999999999997}",25,0,-47.982151716407785,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.6499999999999997}",20,0,-201.57652921166095,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.9, 'e': 0.5999999999999996}",20,0,-92.92608376147003,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.5499999999999996}",20,6,4.8186950245605615,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.4999999999999996}",20,0,-83.60454897061479,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.4499999999999996}",25,0,-66.18889140614574,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.39999999999999963}",30,0,-29.61585359129394,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.34999999999999964}",20,7,-24.545377789692154,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.9, 'e': 0.29999999999999966}",20,3,7.187259649059623,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.24999999999999967}",20,0,3.9889612340414056,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.19999999999999968}",25,4,-41.69157629602158,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.1499999999999997}",20,15,9.917357800654631,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.09999999999999969}",25,0,11.114220945007517,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.049999999999999684}",25,6,30.906685962310014,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': -3.191891195797325e-16}",20,5,28.012067692317302,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,34.53074834200959,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,9,6.653665800303727,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,18.567945220412916,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,31.050809210477222,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,1,-16.096768362953544,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,18.612216227465783,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,3,-14.790138610415262,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,20,12.833301655389942,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,20.805691509796386,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,4,23.792528380275183,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
