trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9968798777302081, 'a': 0.9}",20,6,-126.73109983397386,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 2}",1
2,False,"{'e': 0.9937694906233947, 'a': 0.9}",35,0,-224.00666554256557,"{0: 18, 1: 6, 2: 7, 3: 1, 4: 3}",0
3,False,"{'e': 0.990668808304661, 'a': 0.9}",30,0,-164.30859636385222,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
4,False,"{'e': 0.9875778004938814, 'a': 0.9}",25,0,-54.7274831146173,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'e': 0.9844964370054085, 'a': 0.9}",20,0,-84.15318323785664,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'e': 0.9814246877477771, 'a': 0.9}",20,0,-75.45060190815153,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'e': 0.9783625227234117, 'a': 0.9}",20,0,-35.85904904008701,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'e': 0.9753099120283326, 'a': 0.9}",20,0,-98.11580144472852,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'e': 0.9722668258518643, 'a': 0.9}",20,0,-134.1866358427186,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'e': 0.9692332344763441, 'a': 0.9}",30,15,-60.02046635270246,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
11,False,"{'e': 0.966209108276832, 'a': 0.9}",20,2,-6.504845204312956,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'e': 0.9631944177208218, 'a': 0.9}",25,0,-105.37601875393483,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'e': 0.9601891333679519, 'a': 0.9}",20,0,-63.724397113818036,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'e': 0.9571932258697183, 'a': 0.9}",20,0,-124.20373511521824,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'e': 0.9542066659691884, 'a': 0.9}",20,0,-83.10622853576858,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'e': 0.951229424500714, 'a': 0.9}",20,0,-56.92957996481513,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
17,False,"{'e': 0.9482614723896481, 'a': 0.9}",25,15,-96.41322898397908,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'e': 0.9453027806520595, 'a': 0.9}",35,0,-186.4723159782184,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
19,False,"{'e': 0.9423533203944509, 'a': 0.9}",20,0,-230.4590886473595,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 4}",0
20,False,"{'e': 0.9394130628134758, 'a': 0.9}",30,0,-202.7497265260402,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
21,False,"{'e': 0.9364819791956581, 'a': 0.9}",20,13,-10.457523589408328,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'e': 0.933560040917111, 'a': 0.9}",20,0,-193.81766742749488,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
23,False,"{'e': 0.9306472194432577, 'a': 0.9}",20,0,-177.22483001645185,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
24,False,"{'e': 0.9277434863285529, 'a': 0.9}",25,0,-108.61717075082463,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
25,False,"{'e': 0.9248488132162048, 'a': 0.9}",25,7,-67.64197578756712,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
26,False,"{'e': 0.9219631718378983, 'a': 0.9}",25,0,-138.8830298198579,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
27,False,"{'e': 0.919086534013519, 'a': 0.9}",20,0,-99.0235067984533,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
28,False,"{'e': 0.9162188716508777, 'a': 0.9}",30,0,-143.6529178484754,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
29,False,"{'e': 0.9133601567454361, 'a': 0.9}",25,0,-181.38910362206477,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
30,False,"{'e': 0.9105103613800342, 'a': 0.9}",20,2,-78.85325357253714,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
31,False,"{'e': 0.907669457724616, 'a': 0.9}",25,0,-134.7147952455701,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
32,False,"{'e': 0.9048374180359595, 'a': 0.9}",20,0,-57.4226593761079,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
33,False,"{'e': 0.9020142146574046, 'a': 0.9}",20,0,-126.80781421555531,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
34,False,"{'e': 0.8991998200185832, 'a': 0.9}",20,0,-124.71976177691674,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
35,False,"{'e': 0.8963942066351505, 'a': 0.9}",25,0,-39.89346782518247,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
36,False,"{'e': 0.8935973471085157, 'a': 0.9}",20,0,-109.20246558348347,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
37,False,"{'e': 0.8908092141255755, 'a': 0.9}",25,0,-105.20572911895177,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
38,False,"{'e': 0.8880297804584465, 'a': 0.9}",30,0,-175.5176909756557,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
39,False,"{'e': 0.8852590189641997, 'a': 0.9}",25,0,-10.305075382053511,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
40,False,"{'e': 0.8824969025845955, 'a': 0.9}",20,0,-159.95010249818066,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
41,False,"{'e': 0.8797434043458189, 'a': 0.9}",20,0,-206.4508142337555,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
42,False,"{'e': 0.876998497358217, 'a': 0.9}",30,0,-44.46425763915041,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
43,False,"{'e': 0.8742621548160356, 'a': 0.9}",35,24,-21.325690564757124,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
44,False,"{'e': 0.8715343499971578, 'a': 0.9}",20,0,-68.51725643618758,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
45,False,"{'e': 0.8688150562628432, 'a': 0.9}",20,10,-53.908293753487065,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
46,False,"{'e': 0.866104247057467, 'a': 0.9}",25,0,-128.30073138967282,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
47,False,"{'e': 0.8634018959082617, 'a': 0.9}",20,0,-70.90820528592556,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
48,False,"{'e': 0.8607079764250578, 'a': 0.9}",20,0,-86.81816695655746,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
49,False,"{'e': 0.8580224623000264, 'a': 0.9}",20,0,-60.809822127299576,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
50,False,"{'e': 0.8553453273074225, 'a': 0.9}",20,0,-133.7282850314692,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
51,False,"{'e': 0.8526765453033283, 'a': 0.9}",25,11,-61.41971146773199,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
52,False,"{'e': 0.8500160902253981, 'a': 0.9}",20,0,-121.50129218837989,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
53,False,"{'e': 0.8473639360926045, 'a': 0.9}",20,0,-71.97425464480611,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
54,False,"{'e': 0.8447200570049834, 'a': 0.9}",20,0,-78.25729724404171,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
55,False,"{'e': 0.8420844271433824, 'a': 0.9}",30,0,-129.3477209245712,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
56,False,"{'e': 0.8394570207692074, 'a': 0.9}",25,0,-52.26264103996073,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
57,False,"{'e': 0.8368378122241722, 'a': 0.9}",20,9,-91.30982673438179,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
58,False,"{'e': 0.8342267759300477, 'a': 0.9}",25,16,-121.16390522964004,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 3}",1
59,False,"{'e': 0.8316238863884117, 'a': 0.9}",30,16,-63.72526592388295,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
60,False,"{'e': 0.8290291181804004, 'a': 0.9}",20,0,-40.52569572666795,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
61,False,"{'e': 0.8264424459664598, 'a': 0.9}",25,12,-16.053603806894305,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
62,False,"{'e': 0.8238638444860985, 'a': 0.9}",25,0,-113.91011220921169,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
63,False,"{'e': 0.8212932885576412, 'a': 0.9}",30,0,-67.5568680856191,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
64,False,"{'e': 0.8187307530779818, 'a': 0.9}",25,0,-90.7360683351209,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
65,False,"{'e': 0.8161762130223398, 'a': 0.9}",25,0,-94.67057370934502,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
66,False,"{'e': 0.8136296434440144, 'a': 0.9}",25,0,-25.030513014081436,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
67,False,"{'e': 0.8110910194741419, 'a': 0.9}",25,4,13.948450633890008,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'e': 0.8085603163214524, 'a': 0.9}",25,0,-79.2099196325915,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
69,False,"{'e': 0.806037509272028, 'a': 0.9}",20,0,-85.56873265445851,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
70,False,"{'e': 0.8035225736890608, 'a': 0.9}",20,0,-156.5058438667758,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
71,False,"{'e': 0.801015485012613, 'a': 0.9}",30,5,-70.45925109070623,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",1
72,False,"{'e': 0.7985162187593771, 'a': 0.9}",25,0,-116.73359920952667,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
73,False,"{'e': 0.7960247505224359, 'a': 0.9}",25,0,-86.73746498474785,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
74,False,"{'e': 0.7935410559710253, 'a': 0.9}",30,0,-131.95244077833095,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
75,False,"{'e': 0.791065110850296, 'a': 0.9}",30,4,-46.544314398521145,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 1}",1
76,False,"{'e': 0.7885968909810767, 'a': 0.9}",25,8,-49.63581210674446,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'e': 0.786136372259638, 'a': 0.9}",25,1,-57.459193408292904,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
78,False,"{'e': 0.7836835306574573, 'a': 0.9}",20,0,-72.75132438202121,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
79,False,"{'e': 0.7812383422209839, 'a': 0.9}",25,0,-136.25576586761886,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",1
80,False,"{'e': 0.7788007830714049, 'a': 0.9}",30,0,-230.55455774873343,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
81,False,"{'e': 0.7763708294044125, 'a': 0.9}",20,10,-5.866342055174892,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'e': 0.773948457489971, 'a': 0.9}",25,0,-63.26405538060984,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
83,False,"{'e': 0.7715336436720854, 'a': 0.9}",25,0,-35.05255370469078,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
