trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9692332344763441}",25,0,-197.19625176352574,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.9394130628134758}",20,0,-156.09876475837473,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.9105103613800342}",25,0,-111.47816901544803,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.8824969025845955}",25,0,-112.50137342550725,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.8553453273074225}",20,0,-78.63928504232419,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.8290291181804004}",30,0,-134.11713534896737,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.8035225736890608}",25,2,-39.22088557229419,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.7788007830714049}",30,0,-264.4542929132769,"{0: 13, 1: 6, 2: 5, 3: 2, 4: 4}",0
9,False,"{'a': 0.9, 'e': 0.7548396019890073}",25,0,-141.3701517575355,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.7316156289466418}",20,0,-114.58637207739716,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.7091061824373984}",25,0,-212.6065321688635,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 5}",0
12,False,"{'a': 0.9, 'e': 0.6872892787909722}",25,0,-71.16861064091943,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.6661436107034878}",20,0,-157.88610336049234,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.645648526427892}",20,0,-67.36973620092394,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.6257840096045911}",30,0,-125.75746066298927,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.6065306597126334}",20,0,-128.08738623446294,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.5878696731223465}",25,0,-144.9654474582553,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.569782824730923}",25,15,-48.66300018535459,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.5522524501630204}",20,0,-112.10744078455448,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.5352614285189903}",35,0,-189.77598072013535,"{0: 23, 1: 6, 2: 2, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,0,-60.10380184001237,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-182.77655069161975,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-56.80327885433253,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-82.39542334438698,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-205.07878669811745,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-190.37686743803656,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",20,0,-93.6246023181944,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-43.08064713254085,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-103.51218583951102,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,15,-0.7245648176463901,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
